   #Energy      xx              yy   
   0.466      0.2990E+00      0.5522E+00
   0.474      0.2993E+00      0.5598E+00
   0.482      0.2996E+00      0.5677E+00
   0.490      0.3000E+00      0.5760E+00
   0.498      0.3003E+00      0.5848E+00
   0.506      0.3006E+00      0.5941E+00
   0.514      0.3010E+00      0.6038E+00
   0.522      0.3013E+00      0.6140E+00
   0.530      0.3017E+00      0.6247E+00
   0.537      0.3020E+00      0.6360E+00
   0.545      0.3024E+00      0.6479E+00
   0.553      0.3028E+00      0.6603E+00
   0.561      0.3032E+00      0.6733E+00
   0.569      0.3036E+00      0.6870E+00
   0.577      0.3040E+00      0.7013E+00
   0.585      0.3044E+00      0.7163E+00
   0.593      0.3048E+00      0.7319E+00
   0.601      0.3053E+00      0.7483E+00
   0.609      0.3057E+00      0.7653E+00
   0.617      0.3062E+00      0.7832E+00
   0.625      0.3066E+00      0.8017E+00
   0.632      0.3071E+00      0.8209E+00
   0.640      0.3076E+00      0.8409E+00
   0.648      0.3080E+00      0.8616E+00
   0.656      0.3085E+00      0.8830E+00
   0.664      0.3090E+00      0.9052E+00
   0.672      0.3095E+00      0.9281E+00
   0.680      0.3100E+00      0.9517E+00
   0.688      0.3106E+00      0.9759E+00
   0.696      0.3111E+00      0.1001E+01
   0.704      0.3116E+00      0.1026E+01
   0.711      0.3122E+00      0.1053E+01
   0.719      0.3127E+00      0.1079E+01
   0.727      0.3133E+00      0.1107E+01
   0.735      0.3139E+00      0.1135E+01
   0.743      0.3145E+00      0.1163E+01
   0.751      0.3151E+00      0.1191E+01
   0.759      0.3158E+00      0.1220E+01
   0.767      0.3164E+00      0.1250E+01
   0.775      0.3170E+00      0.1279E+01
   0.782      0.3177E+00      0.1309E+01
   0.790      0.3184E+00      0.1339E+01
   0.798      0.3190E+00      0.1368E+01
   0.806      0.3198E+00      0.1398E+01
   0.814      0.3205E+00      0.1428E+01
   0.822      0.3212E+00      0.1457E+01
   0.830      0.3219E+00      0.1486E+01
   0.838      0.3226E+00      0.1515E+01
   0.846      0.3234E+00      0.1543E+01
   0.854      0.3242E+00      0.1571E+01
   0.862      0.3250E+00      0.1598E+01
   0.870      0.3258E+00      0.1625E+01
   0.877      0.3266E+00      0.1651E+01
   0.885      0.3274E+00      0.1676E+01
   0.893      0.3283E+00      0.1700E+01
   0.901      0.3291E+00      0.1724E+01
   0.909      0.3300E+00      0.1746E+01
   0.917      0.3309E+00      0.1768E+01
   0.925      0.3318E+00      0.1788E+01
   0.933      0.3328E+00      0.1808E+01
   0.941      0.3337E+00      0.1826E+01
   0.949      0.3347E+00      0.1844E+01
   0.956      0.3356E+00      0.1860E+01
   0.964      0.3367E+00      0.1875E+01
   0.972      0.3377E+00      0.1889E+01
   0.980      0.3387E+00      0.1901E+01
   0.988      0.3398E+00      0.1913E+01
   0.996      0.3408E+00      0.1923E+01
   1.004      0.3419E+00      0.1932E+01
   1.012      0.3430E+00      0.1940E+01
   1.020      0.3441E+00      0.1947E+01
   1.028      0.3452E+00      0.1953E+01
   1.036      0.3464E+00      0.1957E+01
   1.043      0.3476E+00      0.1961E+01
   1.051      0.3488E+00      0.1963E+01
   1.059      0.3500E+00      0.1965E+01
   1.067      0.3512E+00      0.1965E+01
   1.075      0.3525E+00      0.1965E+01
   1.083      0.3537E+00      0.1964E+01
   1.091      0.3550E+00      0.1962E+01
   1.099      0.3563E+00      0.1959E+01
   1.107      0.3577E+00      0.1955E+01
   1.115      0.3590E+00      0.1951E+01
   1.122      0.3603E+00      0.1946E+01
   1.130      0.3617E+00      0.1941E+01
   1.138      0.3631E+00      0.1934E+01
   1.146      0.3646E+00      0.1928E+01
   1.154      0.3661E+00      0.1921E+01
   1.162      0.3675E+00      0.1913E+01
   1.170      0.3690E+00      0.1905E+01
   1.178      0.3705E+00      0.1897E+01
   1.186      0.3720E+00      0.1888E+01
   1.194      0.3736E+00      0.1879E+01
   1.202      0.3751E+00      0.1870E+01
   1.209      0.3767E+00      0.1860E+01
   1.217      0.3784E+00      0.1851E+01
   1.225      0.3800E+00      0.1841E+01
   1.233      0.3816E+00      0.1831E+01
   1.241      0.3833E+00      0.1821E+01
   1.249      0.3850E+00      0.1810E+01
   1.257      0.3867E+00      0.1800E+01
   1.265      0.3885E+00      0.1790E+01
   1.273      0.3902E+00      0.1779E+01
   1.280      0.3921E+00      0.1769E+01
   1.288      0.3939E+00      0.1758E+01
   1.296      0.3957E+00      0.1748E+01
   1.304      0.3976E+00      0.1738E+01
   1.312      0.3995E+00      0.1727E+01
   1.320      0.4015E+00      0.1717E+01
   1.328      0.4034E+00      0.1707E+01
   1.336      0.4054E+00      0.1697E+01
   1.344      0.4073E+00      0.1687E+01
   1.352      0.4094E+00      0.1677E+01
   1.360      0.4114E+00      0.1667E+01
   1.367      0.4135E+00      0.1657E+01
   1.375      0.4156E+00      0.1648E+01
   1.383      0.4178E+00      0.1638E+01
   1.391      0.4199E+00      0.1629E+01
   1.399      0.4222E+00      0.1620E+01
   1.407      0.4244E+00      0.1610E+01
   1.415      0.4266E+00      0.1601E+01
   1.423      0.4289E+00      0.1592E+01
   1.431      0.4313E+00      0.1584E+01
   1.439      0.4336E+00      0.1575E+01
   1.446      0.4360E+00      0.1566E+01
   1.454      0.4384E+00      0.1558E+01
   1.462      0.4408E+00      0.1550E+01
   1.470      0.4433E+00      0.1542E+01
   1.478      0.4458E+00      0.1534E+01
   1.486      0.4484E+00      0.1526E+01
   1.494      0.4510E+00      0.1518E+01
   1.502      0.4536E+00      0.1511E+01
   1.510      0.4563E+00      0.1503E+01
   1.518      0.4590E+00      0.1496E+01
   1.526      0.4617E+00      0.1489E+01
   1.534      0.4645E+00      0.1482E+01
   1.541      0.4673E+00      0.1475E+01
   1.549      0.4702E+00      0.1468E+01
   1.557      0.4730E+00      0.1461E+01
   1.565      0.4760E+00      0.1455E+01
   1.573      0.4789E+00      0.1448E+01
   1.581      0.4819E+00      0.1442E+01
   1.589      0.4849E+00      0.1436E+01
   1.597      0.4880E+00      0.1430E+01
   1.605      0.4911E+00      0.1424E+01
   1.613      0.4943E+00      0.1418E+01
   1.620      0.4975E+00      0.1413E+01
   1.628      0.5007E+00      0.1407E+01
   1.636      0.5040E+00      0.1402E+01
   1.644      0.5073E+00      0.1397E+01
   1.652      0.5107E+00      0.1392E+01
   1.660      0.5140E+00      0.1387E+01
   1.668      0.5175E+00      0.1382E+01
   1.676      0.5210E+00      0.1377E+01
   1.684      0.5245E+00      0.1373E+01
   1.692      0.5281E+00      0.1368E+01
   1.700      0.5317E+00      0.1364E+01
   1.707      0.5354E+00      0.1360E+01
   1.715      0.5391E+00      0.1356E+01
   1.723      0.5429E+00      0.1352E+01
   1.731      0.5467E+00      0.1348E+01
   1.739      0.5505E+00      0.1344E+01
   1.747      0.5544E+00      0.1341E+01
   1.755      0.5583E+00      0.1337E+01
   1.763      0.5623E+00      0.1334E+01
   1.771      0.5664E+00      0.1331E+01
   1.778      0.5704E+00      0.1328E+01
   1.786      0.5746E+00      0.1325E+01
   1.794      0.5788E+00      0.1322E+01
   1.802      0.5831E+00      0.1320E+01
   1.810      0.5874E+00      0.1317E+01
   1.818      0.5919E+00      0.1315E+01
   1.826      0.5963E+00      0.1313E+01
   1.834      0.6008E+00      0.1311E+01
   1.842      0.6055E+00      0.1309E+01
   1.850      0.6101E+00      0.1307E+01
   1.858      0.6148E+00      0.1305E+01
   1.865      0.6196E+00      0.1304E+01
   1.873      0.6245E+00      0.1303E+01
   1.881      0.6295E+00      0.1302E+01
   1.889      0.6346E+00      0.1301E+01
   1.897      0.6397E+00      0.1300E+01
   1.905      0.6449E+00      0.1300E+01
   1.913      0.6503E+00      0.1299E+01
   1.921      0.6557E+00      0.1299E+01
   1.929      0.6613E+00      0.1299E+01
   1.937      0.6669E+00      0.1299E+01
   1.944      0.6727E+00      0.1300E+01
   1.952      0.6786E+00      0.1301E+01
   1.960      0.6846E+00      0.1302E+01
   1.968      0.6908E+00      0.1303E+01
   1.976      0.6971E+00      0.1304E+01
   1.984      0.7035E+00      0.1306E+01
   1.992      0.7101E+00      0.1308E+01
   2.000      0.7169E+00      0.1310E+01
   2.008      0.7239E+00      0.1313E+01
   2.016      0.7310E+00      0.1316E+01
   2.024      0.7384E+00      0.1319E+01
   2.031      0.7459E+00      0.1322E+01
   2.039      0.7536E+00      0.1326E+01
   2.047      0.7617E+00      0.1331E+01
   2.055      0.7699E+00      0.1335E+01
   2.063      0.7784E+00      0.1340E+01
   2.071      0.7871E+00      0.1346E+01
   2.079      0.7962E+00      0.1351E+01
   2.087      0.8055E+00      0.1358E+01
   2.095      0.8152E+00      0.1364E+01
   2.103      0.8252E+00      0.1371E+01
   2.111      0.8355E+00      0.1379E+01
   2.118      0.8463E+00      0.1387E+01
   2.126      0.8574E+00      0.1396E+01
   2.134      0.8690E+00      0.1405E+01
   2.142      0.8810E+00      0.1414E+01
   2.150      0.8934E+00      0.1424E+01
   2.158      0.9064E+00      0.1435E+01
   2.166      0.9199E+00      0.1446E+01
   2.174      0.9338E+00      0.1458E+01
   2.182      0.9484E+00      0.1470E+01
   2.189      0.9635E+00      0.1483E+01
   2.197      0.9793E+00      0.1497E+01
   2.205      0.9956E+00      0.1511E+01
   2.213      0.1013E+01      0.1525E+01
   2.221      0.1030E+01      0.1540E+01
   2.229      0.1049E+01      0.1556E+01
   2.237      0.1068E+01      0.1572E+01
   2.245      0.1088E+01      0.1589E+01
   2.253      0.1109E+01      0.1607E+01
   2.261      0.1130E+01      0.1625E+01
   2.269      0.1153E+01      0.1643E+01
   2.276      0.1176E+01      0.1662E+01
   2.284      0.1200E+01      0.1681E+01
   2.292      0.1225E+01      0.1701E+01
   2.300      0.1251E+01      0.1722E+01
   2.308      0.1277E+01      0.1743E+01
   2.316      0.1305E+01      0.1764E+01
   2.324      0.1334E+01      0.1786E+01
   2.332      0.1363E+01      0.1808E+01
   2.340      0.1393E+01      0.1830E+01
   2.348      0.1425E+01      0.1853E+01
   2.356      0.1457E+01      0.1876E+01
   2.363      0.1490E+01      0.1899E+01
   2.371      0.1524E+01      0.1923E+01
   2.379      0.1559E+01      0.1947E+01
   2.387      0.1595E+01      0.1970E+01
   2.395      0.1632E+01      0.1994E+01
   2.403      0.1669E+01      0.2018E+01
   2.411      0.1707E+01      0.2043E+01
   2.419      0.1746E+01      0.2067E+01
   2.427      0.1786E+01      0.2091E+01
   2.435      0.1826E+01      0.2115E+01
   2.442      0.1867E+01      0.2139E+01
   2.450      0.1909E+01      0.2163E+01
   2.458      0.1951E+01      0.2187E+01
   2.466      0.1994E+01      0.2211E+01
   2.474      0.2037E+01      0.2234E+01
   2.482      0.2081E+01      0.2258E+01
   2.490      0.2125E+01      0.2281E+01
   2.498      0.2170E+01      0.2304E+01
   2.506      0.2215E+01      0.2326E+01
   2.514      0.2260E+01      0.2349E+01
   2.522      0.2305E+01      0.2370E+01
   2.529      0.2351E+01      0.2392E+01
   2.537      0.2397E+01      0.2413E+01
   2.545      0.2443E+01      0.2435E+01
   2.553      0.2489E+01      0.2455E+01
   2.561      0.2535E+01      0.2475E+01
   2.569      0.2582E+01      0.2495E+01
   2.577      0.2628E+01      0.2515E+01
   2.585      0.2675E+01      0.2533E+01
   2.593      0.2721E+01      0.2552E+01
   2.601      0.2768E+01      0.2570E+01
   2.608      0.2814E+01      0.2588E+01
   2.616      0.2861E+01      0.2606E+01
   2.624      0.2907E+01      0.2623E+01
   2.632      0.2954E+01      0.2639E+01
   2.640      0.3001E+01      0.2656E+01
   2.648      0.3047E+01      0.2672E+01
   2.656      0.3094E+01      0.2687E+01
   2.664      0.3140E+01      0.2702E+01
   2.672      0.3187E+01      0.2717E+01
   2.680      0.3233E+01      0.2732E+01
   2.688      0.3280E+01      0.2746E+01
   2.695      0.3327E+01      0.2759E+01
   2.703      0.3373E+01      0.2773E+01
   2.711      0.3420E+01      0.2786E+01
   2.719      0.3467E+01      0.2799E+01
   2.727      0.3513E+01      0.2811E+01
   2.735      0.3560E+01      0.2823E+01
   2.743      0.3607E+01      0.2835E+01
   2.751      0.3654E+01      0.2847E+01
   2.759      0.3701E+01      0.2858E+01
   2.767      0.3747E+01      0.2869E+01
   2.775      0.3794E+01      0.2880E+01
   2.782      0.3841E+01      0.2890E+01
   2.790      0.3888E+01      0.2900E+01
   2.798      0.3935E+01      0.2910E+01
   2.806      0.3981E+01      0.2920E+01
   2.814      0.4028E+01      0.2929E+01
   2.822      0.4075E+01      0.2939E+01
   2.830      0.4121E+01      0.2947E+01
   2.838      0.4168E+01      0.2956E+01
   2.846      0.4214E+01      0.2965E+01
   2.853      0.4260E+01      0.2973E+01
   2.861      0.4306E+01      0.2981E+01
   2.869      0.4352E+01      0.2989E+01
   2.877      0.4397E+01      0.2997E+01
   2.885      0.4443E+01      0.3005E+01
   2.893      0.4488E+01      0.3013E+01
   2.901      0.4533E+01      0.3020E+01
   2.909      0.4578E+01      0.3028E+01
   2.917      0.4623E+01      0.3035E+01
   2.925      0.4667E+01      0.3043E+01
   2.933      0.4711E+01      0.3050E+01
   2.941      0.4755E+01      0.3058E+01
   2.948      0.4799E+01      0.3066E+01
   2.956      0.4843E+01      0.3073E+01
   2.964      0.4886E+01      0.3081E+01
   2.972      0.4930E+01      0.3090E+01
   2.980      0.4973E+01      0.3098E+01
   2.988      0.5017E+01      0.3107E+01
   2.996      0.5060E+01      0.3116E+01
   3.004      0.5103E+01      0.3126E+01
   3.012      0.5147E+01      0.3136E+01
   3.019      0.5190E+01      0.3147E+01
   3.027      0.5234E+01      0.3158E+01
   3.035      0.5277E+01      0.3170E+01
   3.043      0.5321E+01      0.3182E+01
   3.051      0.5365E+01      0.3195E+01
   3.059      0.5410E+01      0.3209E+01
   3.067      0.5455E+01      0.3224E+01
   3.075      0.5500E+01      0.3239E+01
   3.083      0.5546E+01      0.3256E+01
   3.091      0.5593E+01      0.3273E+01
   3.099      0.5640E+01      0.3291E+01
   3.107      0.5687E+01      0.3310E+01
   3.114      0.5736E+01      0.3331E+01
   3.122      0.5785E+01      0.3352E+01
   3.130      0.5835E+01      0.3374E+01
   3.138      0.5885E+01      0.3398E+01
   3.146      0.5937E+01      0.3422E+01
   3.154      0.5989E+01      0.3448E+01
   3.162      0.6043E+01      0.3475E+01
   3.170      0.6097E+01      0.3503E+01
   3.178      0.6153E+01      0.3532E+01
   3.186      0.6210E+01      0.3562E+01
   3.193      0.6268E+01      0.3594E+01
   3.201      0.6326E+01      0.3626E+01
   3.209      0.6387E+01      0.3660E+01
   3.217      0.6448E+01      0.3695E+01
   3.225      0.6510E+01      0.3731E+01
   3.233      0.6574E+01      0.3768E+01
   3.241      0.6639E+01      0.3806E+01
   3.249      0.6706E+01      0.3845E+01
   3.257      0.6773E+01      0.3885E+01
   3.265      0.6842E+01      0.3927E+01
   3.272      0.6912E+01      0.3968E+01
   3.280      0.6983E+01      0.4011E+01
   3.288      0.7056E+01      0.4055E+01
   3.296      0.7129E+01      0.4099E+01
   3.304      0.7204E+01      0.4144E+01
   3.312      0.7280E+01      0.4190E+01
   3.320      0.7357E+01      0.4236E+01
   3.328      0.7435E+01      0.4283E+01
   3.336      0.7513E+01      0.4330E+01
   3.344      0.7593E+01      0.4378E+01
   3.352      0.7674E+01      0.4425E+01
   3.359      0.7755E+01      0.4473E+01
   3.367      0.7837E+01      0.4522E+01
   3.375      0.7920E+01      0.4570E+01
   3.383      0.8003E+01      0.4619E+01
   3.391      0.8087E+01      0.4667E+01
   3.399      0.8171E+01      0.4715E+01
   3.407      0.8255E+01      0.4763E+01
   3.415      0.8339E+01      0.4811E+01
   3.423      0.8424E+01      0.4859E+01
   3.431      0.8508E+01      0.4906E+01
   3.438      0.8592E+01      0.4953E+01
   3.446      0.8675E+01      0.5000E+01
   3.454      0.8759E+01      0.5046E+01
   3.462      0.8841E+01      0.5091E+01
   3.470      0.8923E+01      0.5136E+01
   3.478      0.9004E+01      0.5180E+01
   3.486      0.9084E+01      0.5224E+01
   3.494      0.9163E+01      0.5267E+01
   3.502      0.9241E+01      0.5310E+01
   3.510      0.9318E+01      0.5351E+01
   3.518      0.9393E+01      0.5392E+01
   3.525      0.9467E+01      0.5433E+01
   3.533      0.9539E+01      0.5472E+01
   3.541      0.9609E+01      0.5511E+01
   3.549      0.9678E+01      0.5550E+01
   3.557      0.9744E+01      0.5588E+01
   3.565      0.9809E+01      0.5625E+01
   3.573      0.9872E+01      0.5662E+01
   3.581      0.9933E+01      0.5699E+01
   3.589      0.9991E+01      0.5734E+01
   3.597      0.1005E+02      0.5770E+01
   3.604      0.1010E+02      0.5806E+01
   3.612      0.1015E+02      0.5841E+01
   3.620      0.1021E+02      0.5876E+01
   3.628      0.1025E+02      0.5911E+01
   3.636      0.1030E+02      0.5946E+01
   3.644      0.1034E+02      0.5981E+01
   3.652      0.1039E+02      0.6016E+01
   3.660      0.1043E+02      0.6052E+01
   3.668      0.1046E+02      0.6087E+01
   3.676      0.1050E+02      0.6124E+01
   3.683      0.1054E+02      0.6160E+01
   3.691      0.1057E+02      0.6198E+01
   3.699      0.1060E+02      0.6236E+01
   3.707      0.1063E+02      0.6274E+01
   3.715      0.1066E+02      0.6314E+01
   3.723      0.1069E+02      0.6354E+01
   3.731      0.1072E+02      0.6396E+01
   3.739      0.1075E+02      0.6438E+01
   3.747      0.1077E+02      0.6481E+01
   3.755      0.1080E+02      0.6526E+01
   3.763      0.1082E+02      0.6571E+01
   3.771      0.1085E+02      0.6618E+01
   3.778      0.1088E+02      0.6666E+01
   3.786      0.1090E+02      0.6715E+01
   3.794      0.1093E+02      0.6765E+01
   3.802      0.1096E+02      0.6816E+01
   3.810      0.1098E+02      0.6869E+01
   3.818      0.1101E+02      0.6922E+01
   3.826      0.1104E+02      0.6977E+01
   3.834      0.1107E+02      0.7033E+01
   3.842      0.1110E+02      0.7090E+01
   3.849      0.1113E+02      0.7148E+01
   3.857      0.1117E+02      0.7206E+01
   3.865      0.1120E+02      0.7266E+01
   3.873      0.1124E+02      0.7326E+01
   3.881      0.1127E+02      0.7387E+01
   3.889      0.1131E+02      0.7449E+01
   3.897      0.1135E+02      0.7511E+01
   3.905      0.1139E+02      0.7573E+01
   3.913      0.1143E+02      0.7636E+01
   3.921      0.1147E+02      0.7699E+01
   3.929      0.1152E+02      0.7762E+01
   3.936      0.1156E+02      0.7824E+01
   3.944      0.1161E+02      0.7887E+01
   3.952      0.1165E+02      0.7950E+01
   3.960      0.1170E+02      0.8012E+01
   3.968      0.1175E+02      0.8074E+01
   3.976      0.1180E+02      0.8135E+01
   3.984      0.1185E+02      0.8195E+01
   3.992      0.1189E+02      0.8255E+01
   4.000      0.1194E+02      0.8314E+01
   4.008      0.1199E+02      0.8372E+01
   4.016      0.1204E+02      0.8429E+01
   4.023      0.1209E+02      0.8485E+01
   4.031      0.1214E+02      0.8540E+01
   4.039      0.1219E+02      0.8594E+01
   4.047      0.1224E+02      0.8647E+01
   4.055      0.1229E+02      0.8699E+01
   4.063      0.1234E+02      0.8749E+01
   4.071      0.1239E+02      0.8799E+01
   4.079      0.1243E+02      0.8847E+01
   4.087      0.1248E+02      0.8894E+01
   4.095      0.1253E+02      0.8940E+01
   4.102      0.1257E+02      0.8985E+01
   4.110      0.1261E+02      0.9029E+01
   4.118      0.1266E+02      0.9072E+01
   4.126      0.1270E+02      0.9114E+01
   4.134      0.1274E+02      0.9155E+01
   4.142      0.1278E+02      0.9195E+01
   4.150      0.1282E+02      0.9235E+01
   4.158      0.1286E+02      0.9274E+01
   4.166      0.1290E+02      0.9312E+01
   4.174      0.1294E+02      0.9349E+01
   4.181      0.1297E+02      0.9386E+01
   4.189      0.1301E+02      0.9423E+01
   4.197      0.1304E+02      0.9459E+01
   4.205      0.1308E+02      0.9495E+01
   4.213      0.1311E+02      0.9531E+01
   4.221      0.1314E+02      0.9567E+01
   4.229      0.1317E+02      0.9602E+01
   4.237      0.1320E+02      0.9637E+01
   4.245      0.1323E+02      0.9672E+01
   4.253      0.1326E+02      0.9707E+01
   4.261      0.1328E+02      0.9742E+01
   4.268      0.1331E+02      0.9777E+01
   4.276      0.1333E+02      0.9813E+01
   4.284      0.1336E+02      0.9847E+01
   4.292      0.1338E+02      0.9882E+01
   4.300      0.1340E+02      0.9918E+01
   4.308      0.1342E+02      0.9952E+01
   4.316      0.1344E+02      0.9987E+01
   4.324      0.1346E+02      0.1002E+02
   4.332      0.1347E+02      0.1006E+02
   4.340      0.1349E+02      0.1009E+02
   4.348      0.1350E+02      0.1012E+02
   4.355      0.1352E+02      0.1016E+02
   4.363      0.1353E+02      0.1019E+02
   4.371      0.1353E+02      0.1022E+02
   4.379      0.1354E+02      0.1025E+02
   4.387      0.1355E+02      0.1028E+02
   4.395      0.1355E+02      0.1031E+02
   4.403      0.1355E+02      0.1034E+02
   4.411      0.1355E+02      0.1037E+02
   4.419      0.1355E+02      0.1040E+02
   4.426      0.1355E+02      0.1042E+02
   4.434      0.1355E+02      0.1045E+02
   4.442      0.1354E+02      0.1047E+02
   4.450      0.1353E+02      0.1049E+02
   4.458      0.1352E+02      0.1051E+02
   4.466      0.1351E+02      0.1053E+02
   4.474      0.1350E+02      0.1055E+02
   4.482      0.1348E+02      0.1057E+02
   4.490      0.1347E+02      0.1058E+02
   4.498      0.1345E+02      0.1059E+02
   4.506      0.1343E+02      0.1060E+02
   4.513      0.1341E+02      0.1061E+02
   4.521      0.1339E+02      0.1062E+02
   4.529      0.1336E+02      0.1062E+02
   4.537      0.1334E+02      0.1063E+02
   4.545      0.1332E+02      0.1063E+02
   4.553      0.1329E+02      0.1063E+02
   4.561      0.1326E+02      0.1063E+02
   4.569      0.1324E+02      0.1062E+02
   4.577      0.1321E+02      0.1062E+02
   4.585      0.1318E+02      0.1061E+02
   4.593      0.1316E+02      0.1060E+02
   4.600      0.1313E+02      0.1059E+02
   4.608      0.1310E+02      0.1058E+02
   4.616      0.1308E+02      0.1057E+02
   4.624      0.1305E+02      0.1055E+02
   4.632      0.1303E+02      0.1054E+02
   4.640      0.1300E+02      0.1052E+02
   4.648      0.1298E+02      0.1050E+02
   4.656      0.1296E+02      0.1049E+02
   4.664      0.1293E+02      0.1047E+02
   4.672      0.1291E+02      0.1045E+02
   4.679      0.1290E+02      0.1042E+02
   4.687      0.1288E+02      0.1040E+02
   4.695      0.1286E+02      0.1038E+02
   4.703      0.1285E+02      0.1036E+02
   4.711      0.1284E+02      0.1033E+02
   4.719      0.1283E+02      0.1031E+02
   4.727      0.1282E+02      0.1029E+02
   4.735      0.1281E+02      0.1026E+02
   4.743      0.1281E+02      0.1024E+02
   4.751      0.1281E+02      0.1022E+02
   4.758      0.1280E+02      0.1019E+02
   4.766      0.1280E+02      0.1017E+02
   4.774      0.1281E+02      0.1015E+02
   4.782      0.1281E+02      0.1013E+02
   4.790      0.1281E+02      0.1011E+02
   4.798      0.1282E+02      0.1009E+02
   4.806      0.1283E+02      0.1007E+02
   4.814      0.1284E+02      0.1005E+02
   4.822      0.1285E+02      0.1004E+02
   4.830      0.1286E+02      0.1002E+02
   4.838      0.1287E+02      0.1001E+02
   4.846      0.1288E+02      0.9994E+01
   4.853      0.1289E+02      0.9982E+01
   4.861      0.1290E+02      0.9971E+01
   4.869      0.1291E+02      0.9961E+01
   4.877      0.1292E+02      0.9953E+01
   4.885      0.1292E+02      0.9945E+01
   4.893      0.1293E+02      0.9939E+01
   4.901      0.1294E+02      0.9934E+01
   4.909      0.1294E+02      0.9930E+01
   4.917      0.1295E+02      0.9927E+01
   4.925      0.1295E+02      0.9926E+01
   4.932      0.1295E+02      0.9925E+01
   4.940      0.1294E+02      0.9924E+01
   4.948      0.1294E+02      0.9925E+01
   4.956      0.1293E+02      0.9926E+01
   4.964      0.1292E+02      0.9927E+01
   4.972      0.1290E+02      0.9929E+01
   4.980      0.1289E+02      0.9931E+01
   4.988      0.1287E+02      0.9932E+01
   4.996      0.1284E+02      0.9934E+01
   5.004      0.1282E+02      0.9936E+01
   5.011      0.1279E+02      0.9936E+01
   5.019      0.1275E+02      0.9937E+01
   5.027      0.1272E+02      0.9936E+01
   5.035      0.1268E+02      0.9934E+01
   5.043      0.1263E+02      0.9932E+01
   5.051      0.1258E+02      0.9928E+01
   5.059      0.1253E+02      0.9922E+01
   5.067      0.1248E+02      0.9915E+01
   5.075      0.1242E+02      0.9906E+01
   5.083      0.1236E+02      0.9896E+01
   5.090      0.1230E+02      0.9883E+01
   5.098      0.1223E+02      0.9869E+01
   5.106      0.1216E+02      0.9852E+01
   5.114      0.1209E+02      0.9833E+01
   5.122      0.1202E+02      0.9812E+01
   5.130      0.1194E+02      0.9788E+01
   5.138      0.1186E+02      0.9762E+01
   5.146      0.1178E+02      0.9734E+01
   5.154      0.1170E+02      0.9703E+01
   5.162      0.1162E+02      0.9670E+01
   5.170      0.1153E+02      0.9634E+01
   5.178      0.1145E+02      0.9597E+01
   5.185      0.1136E+02      0.9556E+01
   5.193      0.1127E+02      0.9514E+01
   5.201      0.1118E+02      0.9470E+01
   5.209      0.1109E+02      0.9424E+01
   5.217      0.1100E+02      0.9375E+01
   5.225      0.1091E+02      0.9325E+01
   5.233      0.1081E+02      0.9274E+01
   5.241      0.1072E+02      0.9220E+01
   5.249      0.1063E+02      0.9166E+01
